#==============================================================================
# tracerinfo.dat: Created by GEOS-CHEM at 2014/02/28 17:13
#
# ****** CUSTOMIZED FOR NOx-Ox-Hydrocarbon-Aerosol SIMULATION *****
#
# This file contains name weight and index information about GEOS-CHEM
# tracers.  It is read by routine "ctm_tracerinfo.pro" of the GAMAP package.
#
# File Format:
# -----------------------------------------------------------------------------
# NAME     (A8   )  Tracer name (up to 8 chars)
#  --      (1X   )  1-character spacer
# FULLNAME (A30  )  Full tracer name (up to 30 chars)
# MOLWT    (E10.0)  Molecular weight (kg/mole)
# C        (I3   )  For HC's: # moles C/moles tracer; otherwise set=1
# TRACER   (I9   )  Tracer number (up to 9 digits)
# SCALE    (E10.3)  Standard scale factor to convert to unit given below
#  --      (1X   )  1-character spacer
# UNIT     (A40  )  Unit string
#
#==============================================================================
# GEOS-CHEM tracers [ppbv]
#==============================================================================
C2H4     C2H4 tracer                    1.200E-02  2       65 1.000E+09 ppbC
C2H2     C2H2 tracer                    1.200E-02  2       66 1.000E+09 ppbC
MBO      MBO tracer                     1.200E-02  5       67 1.000E+09 ppbC
GLYC     GLYC tracer                    6.000E-02  1       68 1.000E+09 ppbv
HAC      HAC tracer                     7.400E-02  1       69 1.000E+09 ppbv
ACRPAN   ACRPAN tracer                  1.330E-01  1       70 1.000E+09 ppbv
ENPAN    ENPAN tracer                   1.820E-01  1       71 1.000E+09 ppbv
GLPAN    GLPAN tracer                   1.370E-01  1       72 1.000E+09 ppbv
GPAN     GPAN tracer                    1.350E-01  1       73 1.000E+09 ppbv
MPAN     MPAN tracer                    1.320E-01  1       74 1.000E+09 ppbv
NIPAN    NIPAN tracer                   2.240E-01  1       75 1.000E+09 ppbv
O3       Pure O3 tracer                 4.800E-02  1       76 1.000E+09 ppbv
#==============================================================================
# GEOS-CHEM tracers [molec/cm2/s]
#==============================================================================
NOx      NOx tracer                     1.400E-02  1     1001 1.000E+00 molec/cm2/s
Ox       Ox tracer                      4.800E-02  1     1002 1.000E+00 molec/cm2/s
PAN      PAN tracer                     1.210E-01  1     1003 1.000E+00 molec/cm2/s
CO       CO tracer                      2.800E-02  1     1004 1.000E+00 molec/cm2/s
ALK4     ALK4 tracer                    1.200E-02  4     1005 1.000E+00 atoms C/cm2/s
ISOP     ISOP tracer                    1.200E-02  5     1006 1.000E+00 atoms C/cm2/s
HNO3     HNO3 tracer                    6.300E-02  1     1007 1.000E+00 molec/cm2/s
H2O2     H2O2 tracer                    3.400E-02  1     1008 1.000E+00 molec/cm2/s
ACET     ACET tracer                    1.200E-02  3     1009 1.000E+00 atoms C/cm2/s
MEK      MEK tracer                     1.200E-02  4     1010 1.000E+00 atoms C/cm2/s
